Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r_1,r_12,r^2_1,r^2_12,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12),prval(r_1),prval(r_12)
1500,-14.5672387498646,-266.316423319731,-266.492809103053,-0.729384997109299,0.302709434801207,-0.208886412745084,14.2276056881442,1.56108113314658,2.08910392431347,0.715198746662963,1.55692155185005,2.69289003463163,4.55554413540798,10.0883858332165,8.71077837389901,0.261495191318327,8.71786921670713,0.261117728790352,-225.303317021072,-1.1920028130557
1600,-14.5672396423604,-266.316811528653,-266.492880026705,-0.729387916447411,0.302715888355729,-0.208875945611568,14.227611030712,1.5610795814514,2.08910413809145,0.715198753257024,1.55692224095512,2.69289185322546,4.55555791135256,10.0884105978923,8.71089766944804,0.261484508068456,8.71787261044255,0.261118133835624,-225.312259056103,-1.1913840880988
1700,-14.5672403339198,-266.316604244688,-266.492876410353,-0.729386794249032,0.302717508736728,-0.208874676957323,14.2276148543158,1.56107841655784,2.08910421494757,0.715198650996005,1.5569235338063,2.69289433178226,4.5555786766028,10.088442709378,8.71093287797605,0.261471205485791,8.71787528339767,0.26111830763516,-225.314515671536,-1.1905076947423
1800,-14.5672409184905,-266.325940054605,-266.491145982741,-0.729379755992729,0.302718094546085,-0.208874827237049,14.227619120952,1.56107521365579,2.08910446862475,0.715198836086942,1.55692248194172,2.69289242946612,4.55556940940117,10.0884177495916,8.71126916409987,0.261289188778299,8.71787826376113,0.261118760717865,-225.345097757932,-1.17612273623685
1900,-14.5672413890683,-266.327305301996,-266.491311299251,-0.729384852963436,0.302719914396259,-0.2088739787306,14.2276220104883,1.56107467509114,2.0891045454631,0.715198833489075,1.55692235895636,2.69289220907099,4.555569284983,10.0884139389972,8.71141896803894,0.261294581832675,8.7178803172768,0.261118984659168,-225.357020009534,-1.17669526871464
2000,-14.5672417841443,-266.330948231098,-266.491365490164,-0.729384861789292,0.302720408585373,-0.208874954375985,14.2276239234854,1.56107395098478,2.08910459749007,0.71519883472642,1.55692229381399,2.69289255658105,4.55557017016989,10.0884187649312,8.71155056729674,0.261291754205841,8.71788152178685,0.261119062020726,-225.369399762256,-1.17667682383673
2100,-14.5672421232731,-266.376979880474,-266.491458657767,-0.729383326366155,0.302720791337911,-0.208874078766331,14.2276272165082,1.56107365630459,2.08910462628859,0.71519876007467,1.5569229297053,2.69289403163866,4.55557875650078,10.0884380528293,8.71324949112799,0.261291261054687,8.71788400281891,0.26111917582078,-225.559953523853,-1.17669098119127
2200,-14.5672424032164,-266.37708854367,-266.491549707756,-0.729387503525448,0.302721918599526,-0.208871998536007,14.2276287291891,1.56107334313243,2.08910463618257,0.715198670640951,1.55692363370727,2.69289581733612,4.55558872524618,10.0884612169801,8.71330589074989,0.261294062911533,8.71788500657845,0.261119266831973,-225.564389642299,-1.17696459803437
2300,-14.5672426281936,-266.407474215213,-266.49166936527,-0.729388186743289,0.302722873445794,-0.208871026188336,14.2276311839384,1.5610731743638,2.08910467532854,0.715198656799842,1.55692385064937,2.69289651050179,4.55559272084847,10.0884705818477,8.71441365639284,0.261297081925345,8.71788673820758,0.261119357742649,-225.689579292668,-1.17724888553811
2400,-14.5672428309673,-266.410373098669,-266.491702854921,-0.729389803573731,0.302724773529997,-0.208872282840067,14.2276324513336,1.56107305275871,2.08910472398674,0.7151986585647,1.55692388026756,2.69289666542951,4.55559462356183,10.0884740479419,8.71451488427084,0.261297169227032,8.71788758908599,0.261119388792767,-225.699748505682,-1.17726624816686
2500,-14.5672430028894,-266.414561899847,-266.491712854377,-0.729390010873798,0.302724576220242,-0.208872521995766,14.2276338044127,1.56107265957041,2.08910477117044,0.715198672917323,1.55692371151484,2.69289649841894,4.55559348019704,10.088472293125,8.71472677222977,0.261290544055269,8.71788856743457,0.261119450690301,-225.721327743905,-1.17686948383939
