system        expectation_value  ref_value                      uncertainty                    source        
infLi_2Po-01  r^2_1              9.316078557425994333130e+00    1.501673452253271534573e-09    our_calc_17500
infLi_2Po-01  r^2_12             1.868315800523387082421e+01    6.789644402260819333605e-09    our_calc_17500
infLi_2Po-01  delta(r_1)         4.558721758606097296251e+00    5.468355571025540484698e-06    our_calc_17500
infLi_2Po-01  delta(r_12)        1.774256707446607017609e-01    2.978469927084059776234e-07    our_calc_17500
infLi_2Po-01  drach_delta(r_1)   4.558732350162235213986e+00    6.721467826764637720771e-11    our_calc_17500
infLi_2Po-01  drach_delta(r_12)  1.774246999395019952495e-01    1.392069792771621905558e-11    our_calc_17500
infLi_2Po-01  prval(r_1)         -1.015038172861921026424e+02   9.112381738560770827462e-04    our_calc_17500
infLi_2Po-01  prval(r_12)        9.640498546881770547401e-02    4.195331776810085067098e-05    our_calc_17500
infLi_2Po-01  SO1                4.722988229343769855939e-02    8.663538983433305418203e-10    our_calc_17500
infLi_2Po-01  SO2                -3.769848668602449742737e-02   2.422149099345904943448e-09    our_calc_17500

infLi_2Se-01  Energy             -7.4780603239101437e+00        4.5e-15                        wang_pra_83_034503_2011
infLi_2Se-01  MV                 -7.855605120174453759319e+01   1.706890326289567383355e-04    our_calc_12000
infLi_2Se-01  drach_MV           -7.855612534055528328736e+01   3.525778993207495659590e-07    our_calc_12000
infLi_2Se-01  OO                 -4.355978322218899134732e-01   9.058370720183006596926e-11    our_calc_12000
infLi_2Se-01  1/r^2_1            1.008032424737385213120e+01    1.060609378100707544945e-10    our_calc_12000
infLi_2Se-01  1/r^2_12           1.460392211030095310775e+00    2.776179286456681438722e-11    our_calc_12000
infLi_2Se-01  1/r_1              1.906036960826657633561e+00    5.131450819817473529838e-13    our_calc_12000
infLi_2Se-01  1/r_12             7.327373332061065669407e-01    1.894262524615442089271e-12    our_calc_12000
infLi_2Se-01  r_1                1.663174407409737431962e+00    9.639844478215309209190e-12    our_calc_12000
infLi_2Se-01  r_12               2.889465647380441648551e+00    4.369704598161661124323e-11    our_calc_12000
infLi_2Se-01  r^2_1              6.118205413860566821427e+00    1.545847894135476963129e-10    our_calc_12000
infLi_2Se-01  r^2_12             1.228261370809138774973e+01    6.851639255955888074823e-10    our_calc_12000
infLi_2Se-01  delta(r_1)         4.614197165428180369418e+00    1.062336538915076289413e-05    our_calc_12000
infLi_2Se-01  delta(r_12)        1.814421438197174885065e-01    8.406711851649539823939e-08    our_calc_12000
infLi_2Se-01  drach_delta(r_1)   4.614203618764592285117e+00    4.980194034942542202771e-11    our_calc_12000
infLi_2Se-01  drach_delta(r_12)  1.814415442899814101541e-01    4.542505260829443614057e-12    our_calc_12000
infLi_2Se-01  prval(r_1)         -1.027702565115643267291e+02   1.889366435264605570410e-03    our_calc_12000
infLi_2Se-01  prval(r_12)        9.107943771832399670885e-02    1.183342419600053041506e-05    our_calc_12000
infLi_2Se-01  SO1                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_12000
infLi_2Se-01  SO2                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_12000
